#options: 4320x7680 fps=120/1 timebase=1/120 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=13500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:33 type:B dur:8 cpbdur:8 q:41.74 aq:36.75 tex:98591 mv:156054 misc:52931 imb:7296 pmb:10382 smb:111922 d:- ref:0 ;
in:32 out:34 type:b dur:8 cpbdur:8 q:41.74 aq:37.36 tex:52702 mv:102967 misc:42907 imb:2743 pmb:9615 smb:117242 d:- ref:0 ;
in:34 out:35 type:b dur:8 cpbdur:8 q:41.74 aq:37.31 tex:53852 mv:101274 misc:40618 imb:4089 pmb:7387 smb:118124 d:- ref:0 ;
in:39 out:36 type:P dur:8 cpbdur:8 q:41.16 aq:35.42 tex:206158 mv:199150 misc:71252 imb:23802 pmb:6883 smb:98915 d:- ref:0 ;
in:37 out:37 type:B dur:8 cpbdur:8 q:41.45 aq:35.79 tex:90911 mv:153966 misc:55979 imb:5738 pmb:11561 smb:112301 d:- ref:0 ;
in:36 out:38 type:b dur:8 cpbdur:8 q:41.59 aq:37.69 tex:46347 mv:86790 misc:38279 imb:2140 pmb:7904 smb:119556 d:- ref:0 ;
in:38 out:39 type:b dur:8 cpbdur:8 q:41.30 aq:36.65 tex:53582 mv:110063 misc:44139 imb:3509 pmb:8937 smb:117154 d:- ref:0 ;
in:43 out:40 type:P dur:8 cpbdur:8 q:40.50 aq:33.65 tex:308907 mv:254666 misc:75955 imb:41796 pmb:6219 smb:81585 d:- ref:0 ;
in:41 out:41 type:B dur:8 cpbdur:8 q:40.83 aq:34.55 tex:118605 mv:220366 misc:68685 imb:9666 pmb:14206 smb:105728 d:- ref:0 ;
in:40 out:42 type:b dur:8 cpbdur:8 q:40.99 aq:36.01 tex:57096 mv:121019 misc:47341 imb:4229 pmb:9621 smb:115750 d:- ref:0 ;
in:42 out:43 type:b dur:8 cpbdur:8 q:40.66 aq:35.49 tex:79761 mv:154941 misc:54994 imb:6277 pmb:10806 smb:112517 d:- ref:0 ;
in:47 out:44 type:P dur:8 cpbdur:8 q:40.24 aq:33.38 tex:357632 mv:279176 misc:80792 imb:46259 pmb:6596 smb:76745 d:- ref:0 ;
in:45 out:45 type:B dur:8 cpbdur:8 q:40.37 aq:33.65 tex:134331 mv:246109 misc:76832 imb:10782 pmb:15200 smb:103618 d:- ref:0 ;
in:44 out:46 type:b dur:8 cpbdur:8 q:40.43 aq:34.59 tex:77941 mv:169018 misc:60521 imb:6240 pmb:12041 smb:111319 d:- ref:0 ;
in:46 out:47 type:b dur:8 cpbdur:8 q:40.30 aq:34.62 tex:67291 mv:151825 misc:58764 imb:5055 pmb:11386 smb:113159 d:- ref:0 ;
in:51 out:48 type:P dur:8 cpbdur:8 q:39.84 aq:32.85 tex:394534 mv:292034 misc:73048 imb:52851 pmb:6539 smb:70210 d:- ref:0 ;
in:49 out:49 type:B dur:8 cpbdur:8 q:40.04 aq:33.54 tex:132815 mv:252439 misc:77002 imb:12068 pmb:15197 smb:102335 d:- ref:0 ;
in:48 out:50 type:b dur:8 cpbdur:8 q:40.14 aq:34.62 tex:73822 mv:158260 misc:58742 imb:5895 pmb:11435 smb:112270 d:- ref:0 ;
in:50 out:51 type:b dur:8 cpbdur:8 q:39.94 aq:34.86 tex:88154 mv:165055 misc:60671 imb:6281 pmb:11825 smb:111494 d:- ref:0 ;
in:55 out:52 type:P dur:8 cpbdur:8 q:39.60 aq:32.53 tex:345027 mv:282904 misc:85869 imb:42028 pmb:7932 smb:79640 d:- ref:0 ;
in:53 out:53 type:B dur:8 cpbdur:8 q:39.72 aq:32.94 tex:139949 mv:239329 misc:78826 imb:10116 pmb:15711 smb:103773 d:- ref:0 ;
in:52 out:54 type:b dur:8 cpbdur:8 q:39.78 aq:34.14 tex:81189 mv:174085 misc:61270 imb:6149 pmb:12551 smb:110900 d:- ref:0 ;
in:54 out:55 type:b dur:8 cpbdur:8 q:39.66 aq:33.83 tex:67169 mv:145998 misc:58585 imb:4583 pmb:11510 smb:113507 d:- ref:0 ;
in:59 out:56 type:P dur:8 cpbdur:8 q:39.66 aq:33.36 tex:293295 mv:257641 misc:87184 imb:33539 pmb:8350 smb:87711 d:- ref:0 ;
in:57 out:57 type:B dur:8 cpbdur:8 q:39.63 aq:32.87 tex:149432 mv:242009 misc:82487 imb:10462 pmb:16267 smb:102871 d:- ref:0 ;
in:56 out:58 type:b dur:8 cpbdur:8 q:39.61 aq:34.39 tex:63055 mv:141868 misc:55597 imb:4194 pmb:11190 smb:114216 d:- ref:0 ;
in:58 out:59 type:b dur:8 cpbdur:8 q:39.64 aq:33.47 tex:62230 mv:133399 misc:56291 imb:3879 pmb:10636 smb:115085 d:- ref:0 ;
in:60 out:60 type:I dur:8 cpbdur:8 q:37.69 aq:31.66 tex:975408 mv:489878 misc:3858 imb:129600 pmb:0 smb:0 d:- ref:;
in:64 out:61 type:P dur:8 cpbdur:8 q:40.08 aq:33.56 tex:204826 mv:198248 misc:73654 imb:19523 pmb:8069 smb:102008 d:- ref:0 ;
in:62 out:62 type:B dur:8 cpbdur:8 q:40.08 aq:33.23 tex:84879 mv:164132 misc:63253 imb:4541 pmb:13721 smb:111338 d:- ref:0 ;
in:61 out:63 type:b dur:8 cpbdur:8 q:40.08 aq:33.80 tex:45137 mv:103062 misc:47745 imb:2272 pmb:9949 smb:117379 d:- ref:0 ;
in:63 out:64 type:b dur:8 cpbdur:8 q:40.08 aq:35.37 tex:42636 mv:99911 misc:46317 imb:2211 pmb:9267 smb:118122 d:- ref:0 ;
in:68 out:65 type:P dur:8 cpbdur:8 q:40.06 aq:33.59 tex:291329 mv:234138 misc:77957 imb:32944 pmb:6724 smb:89932 d:- ref:0 ;
